Date,Year,Month,Day,Temp_Avg,Temp_Max,Temp_Min,Humidity,Rainfall,Wind_Speed
2016-01-01,2016,1,1,18.64,27.08,12.77,73.06,0.0,4.58
2016-01-02,2016,1,2,18.66,27.86,12.14,66.01,0.0,3.66
2016-01-03,2016,1,3,18.55,28.2,10.54,66.4,0.0,3.6
2016-01-04,2016,1,4,18.79,28.14,12.2,65.92,0.0,3.82
2016-01-05,2016,1,5,18.47,27.81,11.41,66.78,0.0,3.25
2016-01-06,2016,1,6,19.44,28.77,12.03,65.47,0.0,2.63
2016-01-07,2016,1,7,19.53,28.35,13.77,67.13,0.0,3.09
2016-01-08,2016,1,8,19.18,27.41,13.63,65.19,0.0,2.96
2016-01-09,2016,1,9,19.34,28.64,12.77,64.18,0.0,3.2
2016-01-10,2016,1,10,19.11,28.51,11.81,62.88,0.0,2.82
2016-01-11,2016,1,11,19.1,28.07,11.4,63.45,0.0,3.21
2016-01-12,2016,1,12,19.43,28.89,11.55,65.35,0.0,2.92
2016-01-13,2016,1,13,19.15,28.24,11.96,68.22,0.0,2.47
2016-01-14,2016,1,14,19.41,29.07,11.72,65.25,0.0,2.86
2016-01-15,2016,1,15,20.11,28.21,14.28,69.49,0.0,2.95
2016-01-16,2016,1,16,21.11,28.96,14.36,66.97,0.0,2.04
2016-01-17,2016,1,17,20.78,28.31,15.3,70.35,0.0,2.93
2016-01-18,2016,1,18,21.33,28.75,15.03,69.44,0.0,2.59
2016-01-19,2016,1,19,22.57,29.45,17.26,71.07,0.2,2.76
2016-01-20,2016,1,20,22.54,28.54,18.22,75.56,1.66,2.41
2016-01-21,2016,1,21,22.83,29.31,18.45,75.45,0.72,2.38
2016-01-22,2016,1,22,21.66,27.43,18.32,73.08,0.05,3.85
2016-01-23,2016,1,23,22.49,30.08,16.83,73.83,0.0,4.22
2016-01-24,2016,1,24,23.28,30.28,17.79,70.39,0.0,3.35
2016-01-25,2016,1,25,23.72,30.63,17.9,68.87,0.0,2.88
2016-01-26,2016,1,26,23.64,30.49,18.24,69.08,0.0,2.58
2016-01-27,2016,1,27,23.23,31.67,17.61,64.6,0.0,2.95
2016-01-28,2016,1,28,22.66,31.96,16.42,62.43,0.0,2.68
2016-01-29,2016,1,29,22.09,32.08,14.19,61.31,0.0,3.51
2016-01-30,2016,1,30,21.57,31.42,14.53,61.01,0.0,3.43
2016-01-31,2016,1,31,21.36,32.12,13.27,55.89,0.0,4.0
2016-02-01,2016,2,1,21.17,32.39,11.76,48.78,0.0,3.79
2016-02-02,2016,2,2,21.61,32.72,13.2,51.07,0.0,3.62
2016-02-03,2016,2,3,21.74,31.82,13.85,50.12,0.0,3.47
2016-02-04,2016,2,4,21.87,31.94,13.46,54.49,0.0,4.11
2016-02-05,2016,2,5,21.67,31.15,13.45,58.02,0.0,3.15
2016-02-06,2016,2,6,22.63,32.05,14.84,60.89,0.0,3.39
2016-02-07,2016,2,7,24.23,32.54,17.27,63.35,0.0,2.31
2016-02-08,2016,2,8,24.94,33.49,17.31,59.49,0.0,3.0
2016-02-09,2016,2,9,24.35,33.22,17.47,55.08,0.0,2.87
2016-02-10,2016,2,10,24.12,32.92,15.67,54.64,0.0,2.43
2016-02-11,2016,2,11,25.06,32.69,17.12,55.03,0.0,2.51
2016-02-12,2016,2,12,25.33,33.16,18.14,50.29,0.0,3.45
2016-02-13,2016,2,13,24.79,33.21,16.93,52.15,0.0,2.96
2016-02-14,2016,2,14,24.24,33.18,17.68,52.25,0.0,4.65
2016-02-15,2016,2,15,23.4,33.03,14.67,54.95,0.0,4.38
2016-02-16,2016,2,16,24.4,33.93,17.37,54.41,0.0,4.67
2016-02-17,2016,2,17,23.77,32.64,15.34,54.95,0.0,5.26
2016-02-18,2016,2,18,24.24,32.41,18.08,55.44,0.0,5.68
2016-02-19,2016,2,19,24.3,33.86,15.19,48.32,0.0,4.35
2016-02-20,2016,2,20,26.09,36.23,17.1,52.73,0.0,2.95
2016-02-21,2016,2,21,26.94,36.21,19.64,50.4,0.0,2.59
2016-02-22,2016,2,22,26.83,36.74,18.6,47.4,0.0,3.36
2016-02-23,2016,2,23,26.13,37.06,16.88,44.39,0.0,3.23
2016-02-24,2016,2,24,26.02,36.01,17.28,46.93,0.0,2.85
2016-02-25,2016,2,25,26.99,36.68,17.56,44.89,0.0,3.47
2016-02-26,2016,2,26,26.42,35.11,20.44,54.53,0.0,4.98
2016-02-27,2016,2,27,24.43,32.66,18.24,53.73,0.0,4.81
2016-02-28,2016,2,28,25.71,33.85,19.52,55.52,0.0,4.7
2016-02-29,2016,2,29,25.52,34.52,18.96,53.64,0.0,4.85
2016-03-01,2016,3,1,25.35,33.64,18.78,54.72,0.0,4.41
2016-03-02,2016,3,2,23.98,30.33,19.61,55.39,0.0,4.26
2016-03-03,2016,3,3,25.53,34.21,17.69,49.89,0.0,4.83
2016-03-04,2016,3,4,25.53,34.53,18.04,42.16,0.0,3.72
2016-03-05,2016,3,5,25.79,34.7,17.92,44.76,0.0,3.83
2016-03-06,2016,3,6,26.02,35.97,18.85,46.12,0.0,3.75
2016-03-07,2016,3,7,26.32,36.0,18.58,46.35,0.0,3.7
2016-03-08,2016,3,8,26.67,36.64,18.08,45.6,0.0,2.89
2016-03-09,2016,3,9,25.98,32.65,19.53,45.07,0.0,3.14
2016-03-10,2016,3,10,25.81,33.04,19.17,48.91,0.0,2.79
2016-03-11,2016,3,11,27.53,37.35,18.49,41.14,0.0,2.84
