Date,Year,Month,Day,Temp_Avg,Temp_Max,Temp_Min,Humidity,Rainfall,Wind_Speed
2016-01-01,2016,1,1,16.25,25.45,8.53,22.58,0.0,2.5
2016-01-02,2016,1,2,15.19,24.25,10.16,21.66,0.0,2.77
2016-01-03,2016,1,3,15.4,25.5,7.81,19.74,0.0,3.45
2016-01-04,2016,1,4,17.38,24.77,10.13,26.75,0.0,1.34
2016-01-05,2016,1,5,20.21,27.65,13.68,26.43,0.0,1.2
2016-01-06,2016,1,6,18.48,26.35,11.52,34.4,0.0,2.37
2016-01-07,2016,1,7,18.62,26.6,13.22,35.54,0.0,1.77
2016-01-08,2016,1,8,18.51,25.88,13.42,37.95,0.0,3.73
2016-01-09,2016,1,9,15.17,23.82,8.44,36.47,0.0,4.63
2016-01-10,2016,1,10,16.05,24.72,7.89,35.81,0.0,2.36
2016-01-11,2016,1,11,17.89,25.09,11.17,31.98,0.0,0.98
2016-01-12,2016,1,12,16.95,25.81,10.71,31.22,0.0,2.52
2016-01-13,2016,1,13,16.19,25.24,10.61,35.43,0.0,2.36
2016-01-14,2016,1,14,14.41,21.76,8.25,36.5,0.0,2.73
2016-01-15,2016,1,15,13.27,22.14,6.43,42.49,0.0,3.05
2016-01-16,2016,1,16,12.97,22.53,5.93,42.56,0.0,3.57
2016-01-17,2016,1,17,13.87,21.74,6.76,33.41,0.0,1.64
2016-01-18,2016,1,18,14.03,22.6,6.57,29.39,0.0,1.84
2016-01-19,2016,1,19,12.98,20.71,7.42,29.92,0.03,2.08
2016-01-20,2016,1,20,11.59,20.38,4.57,36.96,0.0,2.69
2016-01-21,2016,1,21,11.56,21.75,3.87,28.96,0.0,3.47
2016-01-22,2016,1,22,12.98,22.33,4.39,21.73,0.0,2.11
2016-01-23,2016,1,23,14.34,23.52,8.23,19.54,0.0,1.78
2016-01-24,2016,1,24,12.66,22.78,6.21,22.03,0.0,2.41
2016-01-25,2016,1,25,12.03,21.75,4.28,19.86,0.0,2.64
2016-01-26,2016,1,26,15.72,25.55,7.53,14.78,0.0,1.18
2016-01-27,2016,1,27,16.46,24.81,9.96,18.43,0.0,1.58
2016-01-28,2016,1,28,16.48,26.63,8.17,25.99,0.0,3.2
2016-01-29,2016,1,29,18.63,27.13,12.92,27.76,0.0,1.82
2016-01-30,2016,1,30,19.67,28.3,12.94,38.4,0.14,2.01
2016-01-31,2016,1,31,18.39,26.7,12.5,37.16,0.0,3.57
2016-02-01,2016,2,1,15.44,25.72,7.79,22.63,0.0,3.48
2016-02-02,2016,2,2,13.84,23.06,6.43,22.38,0.0,3.43
2016-02-03,2016,2,3,13.88,24.4,6.09,26.41,0.0,4.12
2016-02-04,2016,2,4,14.71,25.69,6.21,23.3,0.0,3.27
2016-02-05,2016,2,5,15.78,26.28,6.15,20.65,0.0,2.58
2016-02-06,2016,2,6,17.16,27.45,8.46,19.19,0.0,2.59
2016-02-07,2016,2,7,16.03,25.15,9.23,31.47,0.43,2.89
2016-02-08,2016,2,8,15.74,24.87,8.74,55.07,0.18,2.8
2016-02-09,2016,2,9,16.59,26.18,8.53,44.03,0.0,2.82
2016-02-10,2016,2,10,17.39,26.68,8.67,32.78,0.0,2.16
2016-02-11,2016,2,11,17.11,26.94,9.37,24.23,0.0,3.34
2016-02-12,2016,2,12,16.49,27.03,7.21,13.03,0.0,2.41
2016-02-13,2016,2,13,17.22,27.03,9.29,20.17,0.0,2.51
2016-02-14,2016,2,14,16.3,26.17,9.0,26.2,0.02,3.1
2016-02-15,2016,2,15,15.17,24.78,6.84,24.68,0.0,2.96
2016-02-16,2016,2,16,16.69,26.71,8.23,21.17,0.0,2.98
2016-02-17,2016,2,17,19.2,27.89,11.41,22.78,0.23,2.59
2016-02-18,2016,2,18,22.32,29.97,17.1,28.64,0.03,3.09
2016-02-19,2016,2,19,23.37,30.44,17.52,33.07,0.0,2.12
2016-02-20,2016,2,20,22.49,29.02,17.62,42.52,2.55,2.48
2016-02-21,2016,2,21,20.32,29.83,13.73,39.46,0.0,5.19
