Date,Year,Month,Day,Temp_Avg,Temp_Max,Temp_Min,Humidity,Rainfall,Wind_Speed
2016-01-01,2016,1,1,18.84,26.31,11.55,57.98,0.0,1.82
2016-01-02,2016,1,2,18.73,26.61,10.93,58.65,0.0,2.12
2016-01-03,2016,1,3,19.35,25.99,13.72,65.63,0.0,1.63
2016-01-04,2016,1,4,18.5,25.72,11.86,61.66,0.0,2.02
2016-01-05,2016,1,5,18.41,25.96,10.28,53.18,0.0,1.78
2016-01-06,2016,1,6,19.03,25.17,12.45,61.29,0.0,1.63
2016-01-07,2016,1,7,19.2,27.37,11.43,64.36,0.0,2.02
2016-01-08,2016,1,8,19.97,27.49,14.03,66.16,0.0,2.58
2016-01-09,2016,1,9,20.98,28.6,14.17,62.22,0.0,2.33
2016-01-10,2016,1,10,19.92,27.63,13.28,54.02,0.0,2.61
2016-01-11,2016,1,11,18.58,26.2,10.63,45.31,0.0,2.1
2016-01-12,2016,1,12,18.92,26.04,10.99,51.12,0.0,1.84
2016-01-13,2016,1,13,19.12,25.9,12.14,57.64,0.0,1.82
2016-01-14,2016,1,14,20.22,27.32,12.6,56.73,0.0,1.89
2016-01-15,2016,1,15,20.38,27.06,14.2,59.97,0.0,2.26
2016-01-16,2016,1,16,20.91,28.49,15.21,63.01,0.0,2.21
2016-01-17,2016,1,17,21.24,27.98,15.53,53.18,0.0,2.18
2016-01-18,2016,1,18,20.67,27.55,13.69,51.7,0.0,1.53
2016-01-19,2016,1,19,21.77,28.47,16.67,62.37,0.83,1.57
2016-01-20,2016,1,20,21.68,27.65,17.02,79.95,3.94,2.6
2016-01-21,2016,1,21,18.11,24.39,13.08,66.58,0.38,4.02
2016-01-22,2016,1,22,16.49,24.37,9.58,55.45,0.0,3.17
2016-01-23,2016,1,23,15.93,24.49,8.49,49.67,0.0,3.01
2016-01-24,2016,1,24,15.51,24.23,7.58,45.06,0.0,2.91
2016-01-25,2016,1,25,16.89,25.19,8.12,42.09,0.0,1.79
2016-01-26,2016,1,26,18.35,25.5,10.66,51.27,0.0,1.43
2016-01-27,2016,1,27,19.16,25.53,13.99,74.85,0.49,2.42
2016-01-28,2016,1,28,21.45,28.68,16.0,69.42,0.67,2.06
2016-01-29,2016,1,29,21.15,28.29,14.05,51.9,0.0,2.0
2016-01-30,2016,1,30,21.58,28.68,13.7,53.94,0.0,1.83
2016-01-31,2016,1,31,23.26,30.95,15.27,61.78,0.0,2.49
2016-02-01,2016,2,1,23.08,30.5,15.54,51.09,0.0,1.99
2016-02-02,2016,2,2,23.3,30.68,15.4,57.99,0.0,2.03
2016-02-03,2016,2,3,23.09,30.12,16.71,52.37,0.0,2.09
2016-02-04,2016,2,4,21.35,28.91,14.67,50.98,0.0,2.74
2016-02-05,2016,2,5,20.91,28.15,13.37,45.47,0.0,2.17
2016-02-06,2016,2,6,22.15,30.25,14.75,44.03,0.0,1.25
2016-02-07,2016,2,7,23.51,31.19,17.56,52.61,0.0,0.78
2016-02-08,2016,2,8,23.89,30.84,18.52,70.22,2.49,2.96
2016-02-09,2016,2,9,23.88,30.18,19.43,67.14,1.27,2.44
2016-02-10,2016,2,10,23.08,30.2,16.19,53.47,0.0,1.73
2016-02-11,2016,2,11,23.97,31.79,16.84,69.32,0.0,3.72
2016-02-12,2016,2,12,25.5,32.43,20.06,63.17,0.0,3.3
2016-02-13,2016,2,13,25.37,32.61,18.99,56.06,0.0,1.13
2016-02-14,2016,2,14,25.56,32.85,19.24,60.07,0.0,1.89
2016-02-15,2016,2,15,26.03,32.84,20.04,61.29,0.1,1.54
2016-02-16,2016,2,16,27.35,34.92,19.85,46.94,0.0,1.43
2016-02-17,2016,2,17,27.62,35.08,20.36,52.94,0.0,2.16
2016-02-18,2016,2,18,27.4,35.45,20.17,49.33,0.0,2.41
2016-02-19,2016,2,19,27.31,35.72,20.44,56.13,0.0,3.52
2016-02-20,2016,2,20,27.75,36.71,20.51,57.66,0.0,3.21
2016-02-21,2016,2,21,28.41,36.68,21.97,62.17,0.0,3.66
2016-02-22,2016,2,22,28.01,35.84,21.22,50.97,0.0,2.78
2016-02-23,2016,2,23,27.69,35.05,21.69,63.49,0.0,2.54
2016-02-24,2016,2,24,26.73,32.9,23.38,70.88,24.49,3.44
2016-02-25,2016,2,25,25.6,29.67,22.57,80.29,18.55,2.71
2016-02-26,2016,2,26,23.56,26.03,21.36,84.97,25.29,2.12
2016-02-27,2016,2,27,24.71,30.51,20.55,71.3,0.33,1.48
2016-02-28,2016,2,28,25.62,31.4,19.88,67.04,2.51,1.32
2016-02-29,2016,2,29,26.19,32.35,19.94,60.21,0.12,1.81
2016-03-01,2016,3,1,25.63,31.96,20.46,66.11,3.38,2.27
2016-03-02,2016,3,2,25.71,33.06,20.15,67.3,0.22,3.2
2016-03-03,2016,3,3,25.8,33.79,19.38,64.83,0.0,2.53
2016-03-04,2016,3,4,26.37,34.85,19.28,61.96,0.0,2.79
2016-03-05,2016,3,5,26.88,35.33,19.92,63.75,0.0,2.48
2016-03-06,2016,3,6,27.86,34.81,21.5,62.22,1.25,1.71
2016-03-07,2016,3,7,27.11,34.65,19.89,56.79,0.02,2.55
2016-03-08,2016,3,8,27.38,34.95,20.46,57.59,0.0,2.77
2016-03-09,2016,3,9,28.08,36.36,20.8,61.01,0.0,3.39
2016-03-10,2016,3,10,28.96,35.66,22.66,62.48,0.2,1.88
2016-03-11,2016,3,11,28.72,35.96,23.03,60.34,0.0,2.27
2016-03-12,2016,3,12,27.43,34.3,22.77,63.02,0.0,2.94
2016-03-13,2016,3,13,28.3,36.88,21.14,59.84,0.0,2.86
2016-03-14,2016,3,14,26.86,34.2,20.42,50.16,0.04,2.37
2016-03-15,2016,3,15,27.04,34.81,20.17,55.72,0.54,2.53
2016-03-16,2016,3,16,28.65,35.13,22.95,56.39,0.36,2.03
2016-03-17,2016,3,17,27.8,35.58,21.1,52.48,0.01,1.97
2016-03-18,2016,3,18,27.8,35.56,20.92,66.0,0.0,3.04
2016-03-19,2016,3,19,28.68,36.3,22.88,70.1,3.53,3.85
2016-03-20,2016,3,20,29.45,36.78,23.55,67.17,4.23,2.34
2016-03-21,2016,3,21,29.98,37.55,23.61,65.04,0.0,3.1
2016-03-22,2016,3,22,30.01,37.87,23.77,60.95,0.0,2.58
2016-03-23,2016,3,23,28.98,37.49,22.63,56.44,0.0,2.27
2016-03-24,2016,3,24,28.47,37.1,21.42,59.71,0.0,2.09
2016-03-25,2016,3,25,28.64,36.95,21.53,63.82,0.0,3.16
2016-03-26,2016,3,26,29.4,37.03,23.38,66.67,0.0,3.92
2016-03-27,2016,3,27,29.48,36.48,24.55,68.86,0.0,5.33
2016-03-28,2016,3,28,29.68,36.7,24.96,64.38,0.0,3.86
2016-03-29,2016,3,29,29.66,37.34,23.47,64.52,0.0,4.37
2016-03-30,2016,3,30,29.68,36.67,24.92,67.2,0.87,4.99
2016-03-31,2016,3,31,29.45,36.51,24.7,69.22,3.64,4.57
2016-04-01,2016,4,1,29.81,36.95,24.84,66.4,1.11,3.9
2016-04-02,2016,4,2,29.8,36.94,24.26,68.88,0.14,3.8
2016-04-03,2016,4,3,30.62,37.51,25.63,67.89,0.02,4.9
2016-04-04,2016,4,4,31.55,39.23,25.64,63.97,0.02,4.37
2016-04-05,2016,4,5,31.84,39.55,25.93,62.91,0.1,4.56
2016-04-06,2016,4,6,33.08,42.92,25.62,53.99,0.2,3.19
2016-04-07,2016,4,7,33.19,42.78,25.01,52.41,0.22,3.48
2016-04-08,2016,4,8,33.39,41.43,27.27,51.31,1.02,2.77
2016-04-09,2016,4,9,34.0,42.83,26.56,48.96,0.02,3.98
2016-04-10,2016,4,10,34.49,43.82,26.54,46.21,0.02,3.81
2016-04-11,2016,4,11,34.79,44.07,26.49,44.37,0.0,3.54
2016-04-12,2016,4,12,34.87,44.06,26.98,42.23,0.0,3.88
2016-04-13,2016,4,13,33.86,42.69,26.29,47.22,0.0,3.73
2016-04-14,2016,4,14,33.39,42.74,25.95,53.79,0.0,4.13
2016-04-15,2016,4,15,33.45,42.77,26.2,57.19,0.0,5.14
2016-04-16,2016,4,16,32.96,41.98,26.98,61.1,0.0,7.17
2016-04-17,2016,4,17,33.18,42.01,26.61,60.04,0.0,5.28
2016-04-18,2016,4,18,32.82,40.91,27.75,60.66,1.45,5.51
2016-04-19,2016,4,19,33.85,42.98,26.91,51.76,0.28,5.43
2016-04-20,2016,4,20,33.23,42.65,27.35,54.45,0.0,6.19
2016-04-21,2016,4,21,33.29,41.98,26.76,58.27,0.0,5.91
2016-04-22,2016,4,22,34.41,43.85,27.38,53.08,0.0,4.89
2016-04-23,2016,4,23,34.28,43.85,27.57,57.71,0.0,6.21
2016-04-24,2016,4,24,34.6,43.91,27.32,50.87,0.0,3.94
2016-04-25,2016,4,25,33.63,42.09,27.32,57.55,0.0,5.0
2016-04-26,2016,4,26,33.15,41.35,27.45,59.36,0.0,4.82
2016-04-27,2016,4,27,34.0,42.56,27.65,54.72,0.0,4.28
2016-04-28,2016,4,28,34.38,42.93,27.41,51.93,0.0,4.18
2016-04-29,2016,4,29,34.98,44.48,28.2,49.47,0.01,4.67
2016-04-30,2016,4,30,34.82,43.47,28.29,47.47,0.01,3.48
2016-05-01,2016,5,1,34.64,43.8,27.59,49.46,0.3,5.25
2016-05-02,2016,5,2,34.07,42.52,27.04,50.53,0.54,3.36
2016-05-03,2016,5,3,32.6,40.03,26.88,58.52,1.5,4.05
2016-05-04,2016,5,4,31.8,38.3,26.91,61.16,7.67,3.89
2016-05-05,2016,5,5,32.63,39.97,25.77,54.38,0.83,2.54
2016-05-06,2016,5,6,32.49,39.89,26.26,55.87,2.44,3.9
2016-05-07,2016,5,7,32.15,39.02,27.43,60.13,4.95,3.71
2016-05-08,2016,5,8,31.03,37.45,26.56,65.92,11.19,3.13
2016-05-09,2016,5,9,31.64,38.46,26.57,61.23,2.47,2.74
2016-05-10,2016,5,10,31.86,38.67,27.13,60.85,0.57,3.31
2016-05-11,2016,5,11,33.04,40.13,27.02,55.76,0.14,1.99
2016-05-12,2016,5,12,33.15,39.51,27.18,54.6,0.13,3.14
2016-05-13,2016,5,13,32.54,39.38,27.79,64.89,6.01,4.6
2016-05-14,2016,5,14,32.12,38.82,27.4,67.95,7.27,5.53
2016-05-15,2016,5,15,32.77,39.98,27.76,65.32,3.6,5.91
2016-05-16,2016,5,16,32.64,39.14,28.03,64.75,3.91,6.66
2016-05-17,2016,5,17,31.99,38.4,27.61,65.86,6.34,7.26
2016-05-18,2016,5,18,31.19,37.28,27.53,70.22,2.25,6.74
2016-05-19,2016,5,19,29.93,35.13,27.3,73.53,7.29,5.22
2016-05-20,2016,5,20,28.08,32.4,26.11,81.98,32.87,3.54
2016-05-21,2016,5,21,29.35,35.28,25.94,77.04,25.65,5.74
2016-05-22,2016,5,22,31.96,39.04,26.35,69.99,1.56,3.99
2016-05-23,2016,5,23,32.02,37.01,28.02,72.37,6.69,2.44
2016-05-24,2016,5,24,32.16,38.61,27.66,68.61,4.13,2.14
2016-05-25,2016,5,25,32.97,40.1,27.02,62.55,1.41,3.51
2016-05-26,2016,5,26,32.44,38.63,27.73,65.83,6.83,2.44
2016-05-27,2016,5,27,32.26,39.22,27.14,64.77,0.98,3.58
2016-05-28,2016,5,28,31.61,38.21,26.65,64.34,1.8,2.09
2016-05-29,2016,5,29,32.05,38.01,26.77,64.23,1.58,1.62
2016-05-30,2016,5,30,32.22,38.39,27.11,64.24,2.08,2.8
2016-05-31,2016,5,31,31.35,36.56,27.27,70.68,9.86,3.03
2016-06-01,2016,6,1,30.81,35.65,26.84,73.67,7.34,3.14
2016-06-02,2016,6,2,30.8,36.52,26.31,71.53,4.53,2.91
2016-06-03,2016,6,3,30.45,35.07,26.85,73.71,4.02,3.37
2016-06-04,2016,6,4,30.4,35.09,26.78,73.59,4.1,3.3
2016-06-05,2016,6,5,29.63,33.31,26.7,78.97,5.81,3.27
2016-06-06,2016,6,6,29.34,32.72,27.23,81.01,9.22,3.18
2016-06-07,2016,6,7,29.5,33.15,27.29,80.35,5.65,3.75
2016-06-08,2016,6,8,29.64,33.45,27.15,80.59,3.27,3.64
2016-06-09,2016,6,9,29.51,33.21,26.91,77.17,1.99,2.5
2016-06-10,2016,6,10,31.51,37.03,27.28,72.76,1.61,4.14
2016-06-11,2016,6,11,33.12,40.12,29.26,69.57,1.39,4.95
2016-06-12,2016,6,12,32.1,37.88,28.78,73.72,7.08,5.44
2016-06-13,2016,6,13,29.31,30.65,27.73,88.61,21.58,3.19
2016-06-14,2016,6,14,28.99,31.44,27.51,87.99,9.47,3.7
2016-06-15,2016,6,15,28.7,30.88,27.19,87.8,6.81,4.21
2016-06-16,2016,6,16,29.13,32.66,26.59,80.48,2.73,2.38
2016-06-17,2016,6,17,29.18,32.72,26.49,81.45,11.91,3.75
2016-06-18,2016,6,18,29.36,33.24,26.32,79.56,5.95,4.2
2016-06-19,2016,6,19,29.18,33.12,26.55,81.12,4.85,4.83
2016-06-20,2016,6,20,29.39,33.3,26.49,79.24,1.75,3.98
2016-06-21,2016,6,21,29.5,33.39,26.58,78.07,0.47,4.41
2016-06-22,2016,6,22,29.44,33.39,27.0,79.56,0.48,3.65
2016-06-23,2016,6,23,29.33,32.74,26.75,80.08,2.86,3.3
2016-06-24,2016,6,24,29.12,31.82,27.06,81.89,2.38,3.02
2016-06-25,2016,6,25,30.32,34.81,26.9,75.07,0.41,2.62
2016-06-26,2016,6,26,30.21,34.79,26.77,76.83,4.48,2.4
2016-06-27,2016,6,27,30.25,34.72,26.75,78.19,6.05,3.45
2016-06-28,2016,6,28,30.18,34.0,26.8,80.3,5.95,4.59
2016-06-29,2016,6,29,29.92,33.55,27.23,81.78,3.57,4.09
2016-06-30,2016,6,30,30.0,33.56,27.24,80.02,2.82,3.63
2016-07-01,2016,7,1,30.04,33.57,27.16,82.63,3.38,3.49
2016-07-02,2016,7,2,29.27,32.18,27.53,88.22,32.23,5.31
2016-07-03,2016,7,3,28.49,29.8,27.31,90.56,51.46,4.89
2016-07-04,2016,7,4,28.98,32.55,26.92,85.55,15.84,7.65
2016-07-05,2016,7,5,28.48,30.86,27.11,88.39,12.16,5.97
2016-07-06,2016,7,6,28.22,29.75,27.0,87.64,4.91,6.3
2016-07-07,2016,7,7,29.22,32.31,26.95,83.83,4.57,3.31
2016-07-08,2016,7,8,29.06,32.4,26.39,84.99,8.52,3.64
2016-07-09,2016,7,9,28.29,31.13,26.51,85.95,19.36,3.77
2016-07-10,2016,7,10,28.65,32.66,26.04,82.43,3.7,4.71
2016-07-11,2016,7,11,28.74,31.9,26.49,87.41,15.38,4.36
2016-07-12,2016,7,12,29.18,32.68,26.68,84.15,6.25,4.45
2016-07-13,2016,7,13,29.17,33.08,27.06,83.0,4.07,4.96
