Date,Year,Month,Day,Temp_Avg,Temp_Max,Temp_Min,Humidity,Rainfall,Wind_Speed
2016-01-01,2016,1,1,24.69,35.19,17.96,43.88,0.0,3.35
2016-01-02,2016,1,2,24.24,34.88,17.24,42.78,0.0,3.19
2016-01-03,2016,1,3,23.41,33.84,15.97,42.65,0.0,3.01
2016-01-04,2016,1,4,23.51,34.15,16.16,44.5,0.0,3.55
2016-01-05,2016,1,5,23.54,33.54,16.36,45.7,0.0,3.02
2016-01-06,2016,1,6,23.87,33.51,16.91,48.46,0.0,2.86
2016-01-07,2016,1,7,24.08,33.88,17.39,50.03,0.0,2.95
2016-01-08,2016,1,8,24.08,33.24,17.66,49.12,0.0,2.75
2016-01-09,2016,1,9,23.91,33.54,17.3,45.1,0.0,3.33
2016-01-10,2016,1,10,23.69,33.53,16.74,41.57,0.0,3.14
2016-01-11,2016,1,11,23.52,33.41,16.2,45.53,0.0,3.09
2016-01-12,2016,1,12,23.21,32.05,17.39,50.97,0.0,2.37
2016-01-13,2016,1,13,22.75,31.65,16.27,56.02,0.0,2.27
2016-01-14,2016,1,14,22.2,29.94,17.21,59.57,0.1,2.41
2016-01-15,2016,1,15,22.24,30.72,15.27,60.04,0.0,2.54
2016-01-16,2016,1,16,22.87,29.75,18.74,58.84,0.07,1.96
2016-01-17,2016,1,17,22.58,28.95,17.27,61.98,0.09,2.12
2016-01-18,2016,1,18,21.95,28.51,16.27,60.48,0.0,2.15
2016-01-19,2016,1,19,21.51,29.11,15.61,52.32,0.0,2.78
2016-01-20,2016,1,20,21.01,30.53,13.04,39.64,0.0,3.53
2016-01-21,2016,1,21,21.9,31.97,13.98,38.01,0.0,4.17
2016-01-22,2016,1,22,22.49,32.98,14.21,28.37,0.0,4.15
2016-01-23,2016,1,23,23.71,33.68,16.05,30.36,0.0,3.91
2016-01-24,2016,1,24,24.6,34.06,17.71,35.47,0.0,3.29
2016-01-25,2016,1,25,23.93,33.0,17.22,36.37,0.0,2.74
2016-01-26,2016,1,26,22.91,32.04,16.75,39.22,0.0,2.41
2016-01-27,2016,1,27,22.48,32.27,15.33,49.15,0.0,2.41
2016-01-28,2016,1,28,24.89,36.79,15.74,40.94,0.0,3.26
2016-01-29,2016,1,29,26.09,37.42,17.87,37.69,0.0,3.08
2016-01-30,2016,1,30,26.34,37.5,17.88,35.81,0.03,2.83
2016-01-31,2016,1,31,26.03,36.41,18.36,39.43,0.09,3.07
2016-02-01,2016,2,1,25.89,36.02,18.24,39.02,0.0,3.17
2016-02-02,2016,2,2,25.29,35.3,17.88,37.56,0.0,3.07
2016-02-03,2016,2,3,25.23,36.6,16.91,37.03,0.0,3.2
2016-02-04,2016,2,4,24.8,35.8,15.93,39.75,0.0,2.78
2016-02-05,2016,2,5,24.58,34.48,17.15,48.58,0.64,2.55
2016-02-06,2016,2,6,23.15,30.0,18.8,57.23,0.0,2.44
2016-02-07,2016,2,7,22.67,30.11,16.61,61.05,0.0,2.55
2016-02-08,2016,2,8,23.67,33.58,15.2,51.94,0.0,2.63
2016-02-09,2016,2,9,25.29,34.63,17.7,46.57,0.0,2.42
2016-02-10,2016,2,10,25.19,32.45,19.88,56.95,0.0,2.23
2016-02-11,2016,2,11,23.99,31.35,18.39,59.14,0.0,2.67
2016-02-12,2016,2,12,22.68,30.33,16.67,64.57,0.0,2.72
2016-02-13,2016,2,13,22.85,31.88,15.88,60.03,0.0,3.15
2016-02-14,2016,2,14,24.26,33.86,15.98,43.4,0.0,2.8
2016-02-15,2016,2,15,25.19,33.96,18.35,37.62,0.0,2.8
2016-02-16,2016,2,16,26.31,36.68,19.02,42.97,0.0,2.46
2016-02-17,2016,2,17,26.55,34.72,20.49,51.67,1.46,2.45
2016-02-18,2016,2,18,27.49,37.39,19.64,54.96,0.0,3.1
2016-02-19,2016,2,19,26.8,34.37,21.24,64.73,0.0,2.94
2016-02-20,2016,2,20,27.08,34.0,22.26,59.9,0.0,3.17
2016-02-21,2016,2,21,28.7,36.04,23.4,44.73,0.0,3.17
2016-02-22,2016,2,22,27.28,36.07,21.07,36.93,2.48,3.28
2016-02-23,2016,2,23,27.02,36.11,20.42,35.05,3.79,2.47
2016-02-24,2016,2,24,25.7,34.23,19.18,62.31,8.72,2.64
2016-02-25,2016,2,25,25.62,34.07,19.52,60.61,0.0,1.79
2016-02-26,2016,2,26,26.22,34.27,20.67,53.8,0.0,1.86
2016-02-27,2016,2,27,27.78,38.77,19.62,48.0,0.34,2.88
2016-02-28,2016,2,28,28.19,37.07,21.98,50.57,0.78,2.39
2016-02-29,2016,2,29,28.4,36.98,22.31,56.06,1.65,2.18
2016-03-01,2016,3,1,29.55,38.27,23.93,52.26,1.2,2.16
2016-03-02,2016,3,2,29.42,37.83,23.49,55.02,0.58,2.64
2016-03-03,2016,3,3,29.82,38.24,23.83,50.37,0.06,2.91
2016-03-04,2016,3,4,29.59,37.21,23.79,49.0,1.61,1.98
2016-03-05,2016,3,5,28.78,37.23,22.37,45.91,0.07,3.08
2016-03-06,2016,3,6,27.38,35.88,20.42,45.45,0.0,3.09
2016-03-07,2016,3,7,27.52,36.93,19.51,42.29,0.0,2.79
2016-03-08,2016,3,8,28.37,38.17,20.89,39.46,0.0,3.14
2016-03-09,2016,3,9,28.27,37.96,20.99,44.57,0.06,3.04
2016-03-10,2016,3,10,29.77,40.46,20.86,35.53,0.0,3.46
2016-03-11,2016,3,11,30.3,40.94,22.66,33.31,0.09,2.79
2016-03-12,2016,3,12,28.11,36.22,22.41,53.31,0.03,2.75
2016-03-13,2016,3,13,26.23,33.58,21.36,59.14,0.0,3.28
2016-03-14,2016,3,14,26.4,34.13,20.12,59.98,0.01,3.39
2016-03-15,2016,3,15,26.93,35.53,19.58,53.9,0.0,2.82
2016-03-16,2016,3,16,27.39,35.7,20.93,56.22,0.01,2.28
2016-03-17,2016,3,17,28.12,36.38,21.69,50.28,0.0,2.34
2016-03-18,2016,3,18,29.17,38.42,21.9,53.61,0.0,2.86
2016-03-19,2016,3,19,29.94,39.03,22.27,50.12,0.0,3.37
2016-03-20,2016,3,20,30.78,40.07,23.4,38.11,0.0,3.97
2016-03-21,2016,3,21,30.17,39.08,23.26,37.06,0.0,3.65
2016-03-22,2016,3,22,29.69,40.3,21.35,37.3,0.0,3.23
2016-03-23,2016,3,23,31.19,42.68,21.95,34.15,0.01,2.42
2016-03-24,2016,3,24,30.87,41.3,23.16,44.12,0.01,2.19
2016-03-25,2016,3,25,29.88,40.09,23.71,59.55,0.03,2.85
2016-03-26,2016,3,26,30.31,39.14,23.57,52.14,0.01,2.71
2016-03-27,2016,3,27,30.7,40.92,23.62,48.2,0.07,2.58
2016-03-28,2016,3,28,30.72,40.62,22.76,49.42,0.12,2.57
2016-03-29,2016,3,29,29.8,39.31,22.1,47.86,0.06,2.47
2016-03-30,2016,3,30,30.01,39.56,23.74,51.76,0.0,2.4
2016-03-31,2016,3,31,29.77,39.01,23.09,53.22,0.0,2.59
2016-04-01,2016,4,1,29.08,38.21,22.0,56.07,0.0,2.82
2016-04-02,2016,4,2,29.42,38.92,23.2,59.82,0.0,2.71
2016-04-03,2016,4,3,29.86,37.73,23.86,60.28,0.04,2.95
2016-04-04,2016,4,4,30.85,38.64,24.6,55.98,0.04,3.09
2016-04-05,2016,4,5,31.1,39.11,25.96,53.29,0.37,2.89
2016-04-06,2016,4,6,30.41,38.77,24.24,48.41,0.05,2.86
2016-04-07,2016,4,7,30.15,38.72,23.26,52.17,0.21,3.5
2016-04-08,2016,4,8,30.53,39.75,22.72,43.73,0.0,3.86
2016-04-09,2016,4,9,30.58,39.98,23.29,45.12,0.0,3.67
2016-04-10,2016,4,10,30.98,39.96,23.93,51.01,0.07,3.52
2016-04-11,2016,4,11,31.41,40.09,24.57,50.39,0.0,3.87
2016-04-12,2016,4,12,30.95,40.06,23.27,51.53,0.0,3.68
2016-04-13,2016,4,13,30.36,39.16,23.44,55.77,0.0,2.98
2016-04-14,2016,4,14,30.38,39.84,23.22,53.47,0.0,2.87
2016-04-15,2016,4,15,30.29,40.24,22.48,52.86,0.0,3.24
2016-04-16,2016,4,16,29.86,38.93,23.1,60.49,0.0,3.24
2016-04-17,2016,4,17,29.5,37.63,23.0,58.39,0.0,2.96
2016-04-18,2016,4,18,30.99,40.3,24.44,58.92,0.07,3.56
2016-04-19,2016,4,19,31.03,40.37,24.28,59.6,0.04,3.62
2016-04-20,2016,4,20,31.61,39.37,26.41,54.77,0.17,3.51
2016-04-21,2016,4,21,30.83,38.47,25.89,55.87,0.0,2.87
2016-04-22,2016,4,22,29.15,36.24,24.4,57.73,0.0,3.2
2016-04-23,2016,4,23,28.86,36.3,23.34,62.48,0.02,3.22
2016-04-24,2016,4,24,29.0,35.92,24.21,63.08,0.29,3.03
2016-04-25,2016,4,25,29.6,37.81,23.56,55.48,0.0,2.57
2016-04-26,2016,4,26,31.14,40.15,23.98,48.28,0.0,2.86
2016-04-27,2016,4,27,32.5,41.66,24.91,40.77,0.03,3.65
2016-04-28,2016,4,28,32.65,40.9,26.43,45.71,0.11,2.78
2016-04-29,2016,4,29,31.47,38.39,26.23,50.02,0.06,2.63
2016-04-30,2016,4,30,31.08,39.45,24.91,53.11,0.04,2.71
2016-05-01,2016,5,1,31.7,40.37,25.41,49.99,0.06,2.52
2016-05-02,2016,5,2,31.21,40.05,25.62,56.81,0.0,3.03
2016-05-03,2016,5,3,31.11,39.63,24.75,56.06,0.01,2.92
2016-05-04,2016,5,4,30.52,37.91,24.68,58.32,0.03,2.59
2016-05-05,2016,5,5,31.02,38.85,25.4,58.31,0.03,3.15
2016-05-06,2016,5,6,30.4,37.65,24.36,58.5,0.43,3.19
2016-05-07,2016,5,7,30.53,37.55,25.46,58.24,0.21,2.81
2016-05-08,2016,5,8,30.92,38.09,25.97,59.83,0.72,2.87
2016-05-09,2016,5,9,31.22,38.74,25.83,57.68,1.43,2.54
2016-05-10,2016,5,10,31.79,38.66,26.45,56.6,1.67,2.38
2016-05-11,2016,5,11,31.7,38.61,26.77,56.54,0.91,2.86
2016-05-12,2016,5,12,31.66,38.54,26.69,56.98,0.84,3.23
2016-05-13,2016,5,13,31.35,37.87,26.87,64.17,1.07,3.14
2016-05-14,2016,5,14,31.67,37.96,27.8,62.21,0.46,3.29
2016-05-15,2016,5,15,32.24,38.78,27.74,59.97,0.22,3.28
2016-05-16,2016,5,16,32.14,39.81,26.83,60.91,0.04,2.95
2016-05-17,2016,5,17,31.69,38.23,27.15,64.58,0.02,2.98
2016-05-18,2016,5,18,31.21,36.28,27.82,67.41,0.04,3.13
