Date,Year,Month,Day,Temp_Avg,Temp_Max,Temp_Min,Humidity,Rainfall,Wind_Speed
2016-01-01,2016,1,1,21.45,30.74,13.81,41.07,0.0,3.3
2016-01-02,2016,1,2,20.73,30.33,13.06,44.04,0.0,2.62
2016-01-03,2016,1,3,20.01,29.77,11.99,41.41,0.0,2.65
2016-01-04,2016,1,4,20.05,29.77,11.84,40.66,0.0,3.08
2016-01-05,2016,1,5,20.21,29.28,12.09,42.54,0.0,2.84
2016-01-06,2016,1,6,20.77,29.35,12.74,43.5,0.0,2.53
2016-01-07,2016,1,7,20.89,29.13,13.38,47.91,0.0,2.59
2016-01-08,2016,1,8,21.18,28.79,14.38,50.01,0.0,2.01
2016-01-09,2016,1,9,20.62,29.29,13.66,48.4,0.0,2.6
2016-01-10,2016,1,10,20.4,29.23,12.54,42.87,0.0,2.93
2016-01-11,2016,1,11,20.09,29.52,12.2,45.99,0.0,2.81
2016-01-12,2016,1,12,20.16,29.63,13.67,50.56,0.0,2.28
2016-01-13,2016,1,13,19.69,28.98,13.18,54.19,0.0,2.09
2016-01-14,2016,1,14,19.44,28.24,13.93,55.98,0.0,2.57
2016-01-15,2016,1,15,19.19,28.61,11.88,66.34,0.0,2.63
2016-01-16,2016,1,16,19.83,27.5,15.28,66.44,0.0,2.28
2016-01-17,2016,1,17,18.76,26.19,14.23,68.43,0.0,2.25
2016-01-18,2016,1,18,18.02,25.39,13.47,65.29,0.0,2.61
2016-01-19,2016,1,19,17.59,25.65,12.23,60.36,0.0,2.72
2016-01-20,2016,1,20,17.31,27.27,9.15,43.07,0.0,2.81
2016-01-21,2016,1,21,18.06,28.11,10.47,39.97,0.0,4.07
2016-01-22,2016,1,22,18.56,28.8,10.71,29.47,0.0,4.59
2016-01-23,2016,1,23,19.79,29.18,12.04,34.67,0.0,3.9
2016-01-24,2016,1,24,20.7,29.83,13.84,44.26,0.0,3.02
2016-01-25,2016,1,25,20.56,30.53,13.18,43.17,0.0,2.52
2016-01-26,2016,1,26,20.63,31.12,13.98,40.96,0.0,2.37
2016-01-27,2016,1,27,20.43,31.89,13.15,44.29,0.0,2.5
2016-01-28,2016,1,28,21.38,32.85,11.82,38.24,0.0,2.96
2016-01-29,2016,1,29,22.69,33.7,13.74,33.8,0.0,3.38
2016-01-30,2016,1,30,22.55,33.92,13.29,34.97,0.0,2.91
2016-01-31,2016,1,31,22.6,33.58,14.08,38.66,0.0,2.58
2016-02-01,2016,2,1,22.45,33.11,14.14,41.21,0.0,2.7
2016-02-02,2016,2,2,22.5,33.47,14.67,36.82,0.0,2.89
2016-02-03,2016,2,3,21.77,33.68,12.87,36.26,0.0,2.81
2016-02-04,2016,2,4,21.43,33.15,11.57,33.99,0.0,2.62
2016-02-05,2016,2,5,22.2,33.52,13.24,38.66,0.0,2.52
2016-02-06,2016,2,6,20.07,29.2,14.25,63.38,0.0,2.89
2016-02-07,2016,2,7,19.14,28.96,12.15,66.41,0.0,2.9
2016-02-08,2016,2,8,20.83,32.19,11.41,53.99,0.0,2.64
2016-02-09,2016,2,9,22.58,33.1,14.27,48.29,0.0,2.58
2016-02-10,2016,2,10,21.86,29.89,16.53,61.32,0.0,2.72
2016-02-11,2016,2,11,20.73,29.52,14.98,66.79,0.0,3.21
2016-02-12,2016,2,12,19.45,29.25,13.56,67.12,0.0,3.03
2016-02-13,2016,2,13,19.46,29.97,13.18,61.27,0.0,2.51
2016-02-14,2016,2,14,21.3,32.19,11.88,48.62,0.0,2.71
2016-02-15,2016,2,15,22.8,32.45,15.28,43.21,0.0,2.49
2016-02-16,2016,2,16,23.77,34.1,15.46,46.56,0.0,2.57
2016-02-17,2016,2,17,24.22,33.07,16.89,52.74,0.0,2.12
2016-02-18,2016,2,18,24.58,34.2,15.93,45.89,0.0,3.13
2016-02-19,2016,2,19,24.75,34.35,17.42,59.08,0.0,3.25
2016-02-20,2016,2,20,25.42,33.85,18.66,55.71,0.0,2.34
2016-02-21,2016,2,21,26.64,35.39,19.61,47.66,0.0,2.75
2016-02-22,2016,2,22,26.0,36.11,19.32,34.95,0.0,3.1
